HashID|Product|SKU|Brand|MPN|Attr
08-07-06|CLARKE MICRO MILLING/DRILLING UNIT 7610850|WX103512|CLARKE POWER PRODUCTS|7610850|'Capacity End Milling': '10 mm', 'Drilling Capacity': '10 mm', 'Face mill capacity': '20 mm', 'Free Speed (RPM)': '100-2000', 'Length': '240 MM', 'Motor': '150W (230V)', 'Net Weight': '32 KG', 'Speed range, min': '100-1000 rpm', 'Spindle Design or Type': 'MT2', 'Spindle Length': '30 MM', 'Spindle Taper': 'MT2', 'Table cross travel': '90 mm', 'Table long travel': '180 mm', 'Table size W x D': '240 x 145 mm', 'Thread Size': '240 x 145', 'Throat gap (mm)': '140 mm', 'T-Slots Number/Dimensions': '8 mm', 'Width External': '145 MM', 'Width of Face': '20 mm'
08-07-06|CLARKE MILLING DRILL MACHINE CMD300|WXW02248299|CLARKE POWER PRODUCTS|CMD300|'Motor': '470W 230V', 'Number of Speeds': 'Variable', 'Speed range, max': '0-2500', 'Spindle Taper': 'MT3', 'Table size W x D': '92 x 400 mm'
08-07-06|EXCEL 0333-8170 MH35V DRILL MILL TILTING HEAD 3 PHASE|WXW03822204|Excel Machine Tools|0333-8170|'Capacity End Milling': '28 mm', 'Continuous Drilling Capacity': '28 mm', 'Dimensions L x W x H': '85 x 103 x 134 cm', 'Drilling Capacity': '32 mm', 'Face mill capacity': '80 mm', 'Head Movement': '± 60°', 'Max Distance Spindle Table': '440 mm', 'Max Throat Capacity': '215 mm', 'Motor': '(2 speed) 1.1 / 1.5 kW', 'Net Weight': '316 KG', 'Number of Speeds': '6', 'Spindle Speed Range': '50-3260 rpm', 'Spindle Taper': 'BT30', 'Table Size': '750 x 210 mm', 'Tailstock Spindle Travel': '90 mm', 'Travel X Axis': '450 mm', 'Travel Y Axis': '200 mm', 'Travel Z Axis': '460 mm', 'T-Slots Number/Dimensions': '12 mm / 3 / 63mm'
08-07-06|EXCEL 0333-8180 MH50G DRILL MILL TILTING HEAD 3 PHASE|WXW03822203|Excel Machine Tools|0333-8180|'Capacity End Milling': '32 mm', 'Continuous Drilling Capacity': '32 mm', 'Dimensions L x W x H': '121 x 102 x 165 cm', 'Drilling Capacity': '38 mm', 'Face mill capacity': '80 mm', 'Head Movement': '± 30°', 'Max Distance Spindle Table': '545 mm', 'Max Throat Capacity': '260 mm', 'Motor': '(2 speed) 2.2KW', 'Net Weight': '525 KG', 'Number of Speeds': '6', 'Spindle Speed Range': '50-3260 rpm', 'Spindle Taper': 'BT40', 'Table Size': '850 x 240 mm', 'Tailstock Spindle Travel': '115 mm', 'Travel X Axis': '520 mm', 'Travel Y Axis': '260 mm', 'Travel Z Axis': '465 / 385 mm', 'T-Slots Number/Dimensions': '18 mm / 3 / 80mm'
08-07-06|EXCEL 0333-8453 BF46 VARIO MANUAL DRILL/MILL TILTING HEAD|WXW03464038|Excel Machine Tools|0333-8453|
08-07-06|UNIPRIZE MILL UTM4VS 3PH (D)|WXW03530260|UNIPRIZE|UTM4VS|'Feed Range': '0.04/0.08/0.15', 'Motor': '3hp 3ph', 'Number of Feeds': '3', 'Number of Speeds': 'Variable', 'Speed range, max': '60-4200', 'Spindle Taper': 'R8 or ISO30', 'Table size W x D': '1270 x 254 mm'
08-10-34-02|CLARKE  3231550 CAM5002 24IN DRUM/BARREL ELECTRIC FAN 230V|WXW01687704|CLARKE POWER PRODUCTS|3231550|'Voltage': '230 V'
08-10-34-02|CLARKE 3231540 CFF18C100 18IN HIGH VELOCITY CHROME FLOOR FAN 230V|WXW03908266|CLARKE POWER PRODUCTS|3231540|'Voltage': '230 V'
08-10-34-02|CLARKE 3231555 CAM6000 30IN DRUM/BARREL FAN 230V|WXW02027140|CLARKE POWER PRODUCTS|3231555|'Voltage': '230 V'
08-10-34-02|CLARKE 3231560 CAM24 24IN DRUM FAN 230V|WXW03109562|CLARKE POWER PRODUCTS|3231560|'Voltage': '230 V'
08-10-34-02|CLARKE 3231570 CAM36 36IN DRUM FAN 230V|WXW03091129|CLARKE POWER PRODUCTS|3231570|'Voltage': '230 V'
08-10-34-02|CLARKE 3231590 CAM110 30IN DRUM FAN /BARREL ELECTRIC FAN 110V|WXW03632546|CLARKE POWER PRODUCTS|3231590|'Voltage': '110 V'
08-15-01-02|BAHCO WEBBING BELT 4750-QRLB-1|WXW03512474|BAHCO TOOLS|4750-QRLB-1|
08-15-01-02|MARTOR SMALL BELT HOLSTER 9920|WXW03583656|MARTOR|992008|'Blade/Knife Style': 'Safety knife holster', 'Dimensions L x H x W': '215 x 23 x 53 mm', 'Overall Length': '215 MM', 'Quantity per pack': '1'
08-15-01-02|ROEBUCK MULTI-POUCH TOOL BELT|WXW02917270|ROEBUCK RED|DTNP-3|
08-15-01-02|STANLEY TOOL APRON 1-96-178|WX60188|Stanley Tools|1-96-178|
08-15-01-02 | STANLEY TOOL APRON 1-96-178 | WX60188 | Stanley Tools | 1-96-178 | 
